year,date,state,state_key,region_group,population_000,population_people,population_million,population_share_percent,rank_by_population,population_change_from_previous_year_000,population_change_from_previous_year_percent,population_change_2022_to_2025_000,population_change_2022_to_2025_percent,source_name,source_url,catalogue_url,source_unit,data_status,notes
2022,2022-01-01,Johor,johor,Peninsular Malaysia,4028.3,4028300,4.0283,12.32,2,,,177.6,4.41,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Kedah,kedah,Peninsular Malaysia,2163.1,2163100,2.1631,6.62,6,,,64.9,3.0,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Kelantan,kelantan,Peninsular Malaysia,1830.6,1830600,1.8306,5.6,8,,,77.1,4.21,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Melaka,melaka,Peninsular Malaysia,1008.6,1008600,1.0086,3.08,13,,,43.9,4.35,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Negeri Sembilan,negeri sembilan,Peninsular Malaysia,1207.9,1207900,1.2079,3.69,11,,,36.7,3.04,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Pahang,pahang,Peninsular Malaysia,1614.3,1614300,1.6143,4.94,10,,,63.9,3.96,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Perak,perak,Peninsular Malaysia,2514.4,2514400,2.5144,7.69,4,,,60.5,2.41,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Perlis,perlis,Peninsular Malaysia,289.8,289800,0.2898,0.89,14,,,8.0,2.76,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Pulau Pinang,pulau pinang,Peninsular Malaysia,1740.9,1740900,1.7409,5.32,9,,,62.4,3.58,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
2022,2022-01-01,Sabah,sabah,East Malaysia,3414.9,3414900,3.4149,10.44,3,,,344.7,10.09,OpenDOSM / data.gov.my Population Table: States,https://storage.dosm.gov.my/population/population_state.csv,https://open.dosm.gov.my/data-catalogue/population_state,Thousands of people ('000),Official annual state-level population estimate,"Filtered from official full dataset where sex=both, age=overall, ethnicity=overall. Population includes citizens and non-citizens, but excludes temporary residents. Values may not sum exactly due to rounding."
