state,state_key,google_region_name,term,term_label,interest_index,geo,time_range,category,search_type,source_name,source_url,notes
Johor,johor,Johor,Artificial intelligence,Artificial intelligence,42.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Kedah,kedah,Kedah,Artificial intelligence,Artificial intelligence,52.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Kelantan,kelantan,Kelantan,Artificial intelligence,Artificial intelligence,42.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Melaka,melaka,Malacca,Artificial intelligence,Artificial intelligence,66.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Negeri Sembilan,negeri sembilan,Negeri Sembilan,Artificial intelligence,Artificial intelligence,56.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Pahang,pahang,Pahang,Artificial intelligence,Artificial intelligence,43.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Perak,perak,Perak,Artificial intelligence,Artificial intelligence,52.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Perlis,perlis,Perlis,Artificial intelligence,Artificial intelligence,68.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Pulau Pinang,pulau pinang,Penang,Artificial intelligence,Artificial intelligence,57.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Sabah,sabah,Sabah,Artificial intelligence,Artificial intelligence,36.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Sarawak,sarawak,Sarawak,Artificial intelligence,Artificial intelligence,44.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Selangor,selangor,Selangor,Artificial intelligence,Artificial intelligence,76.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Terengganu,terengganu,Terengganu,Artificial intelligence,Artificial intelligence,42.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
W.P. Kuala Lumpur,w.p. kuala lumpur,Federal Territory of Kuala Lumpur,Artificial intelligence,Artificial intelligence,76.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
W.P. Labuan,w.p. labuan,Labuan Federal Territory,Artificial intelligence,Artificial intelligence,72.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
W.P. Putrajaya,w.p. putrajaya,Putrajaya,Artificial intelligence,Artificial intelligence,100.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Johor,johor,Johor,Digital wallet,Digital wallet,55.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Kedah,kedah,Kedah,Digital wallet,Digital wallet,89.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Kelantan,kelantan,Kelantan,Digital wallet,Digital wallet,34.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
Melaka,melaka,Malacca,Digital wallet,Digital wallet,92.0,Malaysia,2022-01-01 to 2025-12-31,All categories,Web Search,Google Trends,https://trends.google.com/trends/explore?geo=MY,Google Trends interest by subregion. Values are relative indices from 0 to 100 for each search term within Malaysia.
